"KMETIJSKE KULTURE","LETO","STATISTIÈNA REGIJA",Povpreèni pridelek (t/ha) pomembnejših kmetijskih kultur
"Rž in soržica","2015","Koroška",3.4
"Rž in soržica","2015","Savinjska",4.1
"Rž in soržica","2015","Zasavska",-
"Rž in soržica","2015","Posavska",3.7
"Rž in soržica","2015","Jugovzhodna Slovenija",4.1
"Rž in soržica","2015","Osrednjeslovenska",3.4
"Rž in soržica","2015","Gorenjska",3.9
"Rž in soržica","2015","Primorsko-notranjska",3.5
"Rž in soržica","2015","Goriška",3.7
"Rž in soržica","2015","Obalno-kraška",3.8
"Rž in soržica","2016","Pomurska",3.7
"Rž in soržica","2016","Podravska",5.2
"Rž in soržica","2016","Koroška",3.3
"Rž in soržica","2016","Savinjska",3.2
"Rž in soržica","2016","Zasavska",-
"Rž in soržica","2016","Posavska",2.8
"Rž in soržica","2016","Jugovzhodna Slovenija",3.6
"Rž in soržica","2016","Osrednjeslovenska",3.8
"Rž in soržica","2016","Gorenjska",3.9
"Rž in soržica","2016","Primorsko-notranjska",3.8
"Rž in soržica","2016","Goriška",4.0
"Rž in soržica","2016","Obalno-kraška",3.8
"Rž in soržica","2017","Pomurska",4.0
"Rž in soržica","2017","Podravska",4.4
"Rž in soržica","2017","Koroška",3.4
"Rž in soržica","2017","Savinjska",3.8
"Rž in soržica","2017","Zasavska",-
"Rž in soržica","2017","Posavska",2.3
"Rž in soržica","2017","Jugovzhodna Slovenija",3.7
"Rž in soržica","2017","Osrednjeslovenska",3.5
"Rž in soržica","2017","Gorenjska",4.4
"Rž in soržica","2017","Primorsko-notranjska",3.5
"Rž in soržica","2017","Goriška",4.0
"Rž in soržica","2017","Obalno-kraška",4.0
"Rž in soržica","2018","Pomurska",3.1
"Rž in soržica","2018","Podravska",4.6
"Rž in soržica","2018","Koroška",3.0
"Rž in soržica","2018","Savinjska",3.0
"Rž in soržica","2018","Zasavska",3.4
"Rž in soržica","2018","Posavska",2.5
"Rž in soržica","2018","Jugovzhodna Slovenija",3.1
"Rž in soržica","2018","Osrednjeslovenska",2.9
"Rž in soržica","2018","Gorenjska",3.1
"Rž in soržica","2018","Primorsko-notranjska",3.5
"Rž in soržica","2018","Goriška",3.4
"Rž in soržica","2018","Obalno-kraška",3.8
"Rž in soržica","2019","Pomurska",4.0
"Rž in soržica","2019","Podravska",4.2
"Rž in soržica","2019","Koroška",4.0
"Rž in soržica","2019","Savinjska",3.2
"Rž in soržica","2019","Zasavska",3.8
"Rž in soržica","2019","Posavska",3.4
"Rž in soržica","2019","Jugovzhodna Slovenija",2.2
"Rž in soržica","2019","Osrednjeslovenska",3.1
"Rž in soržica","2019","Gorenjska",3.2
"Rž in soržica","2019","Primorsko-notranjska",3.8
"Rž in soržica","2019","Goriška",3.8
"Rž in soržica","2019","Obalno-kraška",4.3
"Koruza za zrnje","2010","Pomurska",9.1
"Koruza za zrnje","2010","Podravska",8.7
"Koruza za zrnje","2010","Koroška",7.5
"Koruza za zrnje","2010","Savinjska",6.9
"Koruza za zrnje","2010","Zasavska",3.9
"Koruza za zrnje","2010","Posavska",7.6
"Koruza za zrnje","2010","Jugovzhodna Slovenija",7.4
